,proj_id,regis_id,regis_date,cancel_date,proj_name_th,proj_name_en,proj_abbr_name,fund_status,unique_id,permit_us_investment,invest_country_flag,proj_retail_type,proj_term_flag,proj_term_dd,proj_term_mm,proj_term_yy,spec_code,spec_desc,risk_spectrum,risk_spectrum_desc,fund_suitable_desc
14,M0144_2556,MF0156_2556,2013-03-06,-,กองทุนเปิด แอล เอช เฟล็กซิเบิ้ล,LH FLEXIBLE FUND,LHFL,RG,C0000006646,,3,R,N,,,,,,,,
15,M0145_2565,MF0163_2565,2022-05-30,-,กองทุนเปิด แอล เอช ดิวิเดนด์ แอนด์ บายแบ็ค,LH DIVIDEND AND BUYBACK FUND,LHDIVB,RG,C0000006646,,1,R,N,,,,"FED,SSF","กองทุนรวมฟีดเดอร์,กองทุนรวมเพื่อการออม ",,,"<ul><li>ผู้ที่สามารถลงทุนในระยะปานกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
</li></ul><ul><li>ผู้ลงทุนที่สามารถรับความผันผวนจากอัตราแลกเปลี่ยนได้ เนื่องจากกองทุนนี้จะลงทุนในหน่วยลงทุนของกองทุนต่างประเทศด้วยสกุลเงินดอลล่าร์สหรัฐฯ (USD) จึงอาจมีความเสี่ยงจากอัตราแลกเปลี่ยน
</li></ul><ul><li>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวม และ/หรือ กองทุนหลักไปลงทุน ซึ่งอาจปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุน และทำให้ขาดทุนได้
</li></ul><br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป"
16,M0147_2566,MF0193_2566,2023-05-31,-,กองทุนเปิด แอล เอช คอมเพล็กซ์ รีเทิร์น 3 ห้ามขายผู้ลงทุนรายย่อย ,LH COMPLEX RETURN 3 FUND NOT FOR RETAIL INVESTORS ,LHCOMPLEXAI3,RG,C0000006646,,4,B,Y,,10,1 ,,,,,
17,M0163_2559,MF0469_2559,2016-10-27,-,กองทุนเปิด แอล เอช ไทย พร็อพเพอร์ตี้ แอนด์ อินฟราสตรัคเจอร์ เฟล็กซิเบิ้ล,LH Thai Property and Infrastructure Flexible Fund,LHPROPINFRA,RG,C0000006646,,3,R,N,,,,,,,,
18,M0181_2555,MF0151_2555,2012-03-20,-,กองทุนรวมอสังหาริมทรัพย์และสิทธิการเช่า แลนด์ แอนด์ เฮ้าส์,Land and Houses Freehold and Leasehold Property Fund,LHPF,RG,C0000006646,,3,R,N,,,,,,,,
19,M0195_2559,MF0191_2559,2016-05-11,-,กองทุนเปิด แอล เอช มั่นคง,LH INCOME PLUS FUND,LHIP,RG,C0000006646,,3,R,N,,,,,,,,
20,M0195_2561,MF0208_2561,2018-07-25,-,กองทุนเปิด แอล เอช โกลบอล อิควิตี้,LH GLOBAL EQUITY FUND,LHGEQ,RG,C0000006646,,1,R,N,,,,"FED,SSF","กองทุนรวมฟีดเดอร์,กองทุนรวมเพื่อการออม ",,,<p>-<font>&nbsp;</font>ชนิดสะสมมูลค่า (ชื่อย่อ : LHGEQ -A) : เหมาะสำหรับผู้ลงทุนประเภทบุคคลธรรมดา เปิดโอกาสให้ผู้ลงทุนรับรายได้จากส่วนต่างจากการลงทุน (Capital Gain) และสะสมผลประโยชน์จากการลงทุน (Total return)</p><p><span>ชนิด</span><span>จ่ายเงินปันผล (ชื่อย่อ : </span><span>LHGEQ-D) : <span>เหมาะสำหรับผู้ลงทุนประเภทนิติบุคคล/สถาบัน เปิดโอกาสให้ผู้ลงทุนรับรายได้สม่ำเสมอจากเงินปันผล รวมถึงมีสิทธิได้รับสิทธิพิเศษทางภาษี หากปฏิบัติเป็นไปตามเกณฑ์/เงื่อนไขที่กรมสรรพากรกำหนด</span></span></p><p><span>ชนิดขายคืน</span><span>หน่วยลงทุนอัตโนมัติ (ชื่อย่อ : </span><span>LHGEQ-R) : <span>เหมาะกับผู้ลงทุนประเภทบุคคลธรรมดา เปิดโอกาสให้ผู้ลงทุน</span><br> <span>รับรายได้สม่ำเสมอจากการขายคืนหน่วยลงทุนอัตโนมัติ</span></span><br>-<font>&nbsp;</font>ผู้ลงทุนที่มุ่งหวังผลตอบแทนจากการลงทุนในหน่วยลงทุนของกองทุนรวมต่างประเทศซึ่งเน้นลงทุนในหุ้นที่หลากหลาย<br>ซึ่งมีศักยภาพในการเติบโตของรายได้ที่เหนือกว่าค่าเฉลี่ยและมีการเติบโตแบบยั่งยืน โดยกองทุนรวมลงทุนในหุ้นทั่วโลก รวมถึงหุ้นตลาดเกิดใหม่ และผู้ลงทุนสามารถยอมรับความเสี่ยงจากการลงทุนในต่างประเทศได้&nbsp;<br>-<font>&nbsp;</font>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหรือมูลค่าหน่วยลงทุนของกองทุนหลักหรือกองทุนต่างประเทศที่กองทุนลงทุน&nbsp;<br>ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้<br>-<font>&nbsp;</font>ผู้ที่สามารถลงทุนในระยะปานกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวจากการลงทุนในตราสารทุนต่างประเทศ<br>-<font>&nbsp;</font>ผู้ลงทุนที่สามารถรับความผันผวนจากอัตราแลกเปลี่ยนได้ เนื่องจากกองทุนนี้จะลงทุนในหน่วยลงทุนของกองทุนต่างประเทศด้วยสกุลเงินดอลล่าร์สหรัฐฯ (USD) จึงอาจมีความเสี่ยงจากอัตราแลกเปลี่ยน<br></p><div><br></div><br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป<br>- ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนใน  ตราสารหนี้ทั่วไป
21,M0204_2559,MF0524_2559,2016-11-23,-,กองทุนเปิด แอล เอช พร็อพเพอร์ตี้ อินฟรา เฟล็กซิเบิล A,LH PROPERTY INFRA FLEXIBLE A FUND,LHPROPIA,RG,C0000006646,,4,R,N,,,,SSF,กองทุนรวมเพื่อการออม ,,<br>,<p>? ผู้ลงทุนที่สามารถรับความผันผวนของราคาหลักทรัพย์ที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ </p><p>? ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป</p><p> ? ผู้ลงทุนที่ต้องการกระจายการลงทุน ไปยังหน่วยลงทุนของกองทุนกลุ่ม Property</p><br>- เช่น  Health Care เป็นต้น <br> - ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป <br>- ผู้ลงทุนที่ต้องการกระจายการลงทุนไปยังหุ้นกลุ่ม Health Care<br>- เช่น  Health Care เป็นต้น <br> - ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวมไปลงทุน ซึ่งอาจจะปรับตัวเพิ่มสูงขึ้น หรือลดลงจนต่ำกว่ามูลค่าที่ลงทุนและทำให้ขาดทุนได้ <br> - ผู้ที่สามารถลงทุนในระยะกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป <br>- ผู้ลงทุนที่ต้องการกระจายการลงทุนไปยังหุ้นกลุ่ม Health Care
22,M0216_2564,MF0322_2564,2021-09-29,-,กองทุนเปิด แอล เอช เฮลธ์  อินโนเวชั่น,LH HEALTH INNOVATION FUND,LHHEALTH,RG,C0000006646,,1,R,N,,,,"FED,SE,SSF","กองทุนรวมฟีดเดอร์,กองทุนรวมหมวดอุตสาหกรรม,กองทุนรวมเพื่อการออม ",,,"<ul>
    <li>ผู้ที่สามารถลงทุนในระยะปานกลางถึงระยะยาว โดยคาดหวังผลตอบแทนในระยะยาวที่ดีกว่าการลงทุนในตราสารหนี้ทั่วไป
    </li>
</ul>
<ul>
    <li>ผู้ลงทุนที่สามารถรับความผันผวนจากอัตราแลกเปลี่ยนได้ เนื่องจากกองทุนนี้จะลงทุนในหน่วยลงทุนของกองทุนต่างประเทศด้วยสกุลเงินดอลล่าร์สหรัฐฯ (USD) จึงอาจมีความเสี่ยงจากอัตราแลกเปลี่ยน
    </li>
</ul>
<ul><li>ผู้ลงทุนที่สามารถรับความผันผวนของราคาหุ้นที่กองทุนรวม และ/หรือ กองทุนหลักไปลงทุน ซึ่งอาจปรับตัวเพิ่มสูงขึ้นหรือลดลงจนต่ำกว่ามูลค่าที่ลงทุน และทำให้ขาดทุนได้
</li></ul><ul><li>ผู้ลงทุนที่ต้องการกระจายการลงทุน ไปยังหุ้นกลุ่ม Healthcare</li></ul>"
23,M0220_2559,MF0190_2559,2016-05-11,-,กองทุนเปิด แอล เอช ยั่งยืน,LH Smart Income Fund,LHSMART,RG,C0000006646,,3,R,N,,,,,,,,
